,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
24,2021-12-13,348.991466153547,304.14728092050535,389.68713290536186,348.991466153547,348.991466153547,-1.6515499485805365,-1.6515499485805365,-1.6515499485805365,-1.6515499485805365,-1.6515499485805365,-1.6515499485805365,0.0,0.0,0.0,347.33991620496647
25,2021-12-14,348.55618198867563,302.27359429371705,382.64795143154134,348.55618198867563,348.55618198867563,-4.123814158380805,-4.123814158380805,-4.123814158380805,-4.123814158380805,-4.123814158380805,-4.123814158380805,0.0,0.0,0.0,344.4323678302948
26,2021-12-15,348.12089782380417,302.6938988364845,384.57026065929534,348.12089782380417,348.12089782380417,-2.94942402897848,-2.94942402897848,-2.94942402897848,-2.94942402897848,-2.94942402897848,-2.94942402897848,0.0,0.0,0.0,345.1714737948257
27,2021-12-16,347.68561365893277,298.6188200723636,386.39611495309964,347.68561365893277,347.68561365893277,-5.917434928142555,-5.917434928142555,-5.917434928142555,-5.917434928142555,-5.917434928142555,-5.917434928142555,0.0,0.0,0.0,341.7681787307902
28,2021-12-17,347.2503294940614,295.57683648206756,380.5984831581581,347.2503294940614,347.2503294940614,-8.501342042857647,-8.501342042857647,-8.501342042857647,-8.501342042857647,-8.501342042857647,-8.501342042857647,0.0,0.0,0.0,338.7489874512038
29,2021-12-20,345.94447699944715,303.0774022279323,385.11365554385117,345.94447699944715,345.94447699944715,-1.6515499486074965,-1.6515499486074965,-1.6515499486074965,-1.6515499486074965,-1.6515499486074965,-1.6515499486074965,0.0,0.0,0.0,344.29292705083964
30,2021-12-21,345.50919283457574,301.7986903708272,381.16775579353083,345.50919283457574,345.50919283457574,-4.123814158374492,-4.123814158374492,-4.123814158374492,-4.123814158374492,-4.123814158374492,-4.123814158374492,0.0,0.0,0.0,341.38537867620124
31,2021-12-22,345.0739086697044,303.28481973795806,383.87417035195966,345.0739086697044,345.0739086697044,-2.949424028981709,-2.949424028981709,-2.949424028981709,-2.949424028981709,-2.949424028981709,-2.949424028981709,0.0,0.0,0.0,342.1244846407227
32,2021-12-23,344.638624504833,297.9625476536721,380.84442370652584,344.638624504833,344.638624504833,-5.917434928117529,-5.917434928117529,-5.917434928117529,-5.917434928117529,-5.917434928117529,-5.917434928117529,0.0,0.0,0.0,338.72118957671546
33,2021-12-27,342.89748785394835,296.8538035077613,382.9586353478821,342.89748785394835,342.89748785394835,-1.6515499486050933,-1.6515499486050933,-1.6515499486050933,-1.6515499486050933,-1.6515499486050933,-1.6515499486050933,0.0,0.0,0.0,341.2459379053433
34,2021-12-28,342.46220369122716,296.0598217008754,379.9482085972026,342.46220369122716,342.46220369122716,-4.123814158399544,-4.123814158399544,-4.123814158399544,-4.123814158399544,-4.123814158399544,-4.123814158399544,0.0,0.0,0.0,338.3383895328276
35,2021-12-29,342.02691952850597,297.60169835903866,379.7645376356762,342.02691952850597,342.02691952850597,-2.9494240289849385,-2.9494240289849385,-2.9494240289849385,-2.9494240289849385,-2.9494240289849385,-2.9494240289849385,0.0,0.0,0.0,339.07749549952104
36,2021-12-30,341.5916353657848,295.44601833474,379.7870097052636,341.5916353657848,341.5916353657848,-5.917434928125764,-5.917434928125764,-5.917434928125764,-5.917434928125764,-5.917434928125764,-5.917434928125764,0.0,0.0,0.0,335.674200437659
37,2021-12-31,341.1563512030636,292.44878603845916,375.7694795950702,341.1563512030636,341.1563512030636,-8.5013420428388,-8.5013420428388,-8.5013420428388,-8.5013420428388,-8.5013420428388,-8.5013420428388,0.0,0.0,0.0,332.6550091602248
38,2022-01-03,339.85049871490014,295.6427158429374,382.04278266668024,339.85049871490014,339.85049871490014,-1.6515499485681553,-1.6515499485681553,-1.6515499485681553,-1.6515499485681553,-1.6515499485681553,-1.6515499485681553,0.0,0.0,0.0,338.19894876633197
39,2022-01-04,339.41521455217895,296.51886918594175,378.0730428571223,339.41521455217895,339.41521455217895,-4.123814158379802,-4.123814158379802,-4.123814158379802,-4.123814158379802,-4.123814158379802,-4.123814158379802,0.0,0.0,0.0,335.29140039379917
40,2022-01-05,338.97993038945776,295.32119261500685,378.4914646293499,338.97993038945776,338.97993038945776,-2.949424028978652,-2.949424028978652,-2.949424028978652,-2.949424028978652,-2.949424028978652,-2.949424028978652,0.0,0.0,0.0,336.03050636047914
41,2022-01-06,338.5446462264355,292.4092395424318,373.7063362696545,338.5446462264355,338.5446462264355,-5.917434928126564,-5.917434928126564,-5.917434928126564,-5.917434928126564,-5.917434928126564,-5.917434928126564,0.0,0.0,0.0,332.6272112983089
42,2022-01-07,338.1093620634132,286.82287590392116,371.53128419755416,338.1093620634132,338.1093620634132,-8.501342042832194,-8.501342042832194,-8.501342042832194,-8.501342042832194,-8.501342042832194,-8.501342042832194,0.0,0.0,0.0,329.60802002058097
43,2022-01-10,336.80350957434626,294.0094571139465,376.46673471219583,336.80350957434626,336.80350957434626,-1.6515499485804341,-1.6515499485804341,-1.6515499485804341,-1.6515499485804341,-1.6515499485804341,-1.6515499485804341,0.0,0.0,0.0,335.1519596257658
